estimator_id,source_profile,scalar_degree,packing_degree,policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,2,Quantum128BitADPS16,q128,324,3,1580547964560,43565,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,4,Quantum128BitADPS16,q128,648,1,1580547964560,4,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,100.435000000000,484,,379,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta32,162,4,Quantum128BitADPS16,q128,648,2,1580547964560,2043422581,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,1,Quantum128BitADPS16,q128,162,1,1614907702920,3,162,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,10.865000000000,484,,41,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,1,Quantum128BitADPS16,q128,162,2,1614907702920,6,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,81.090000000000,484,,306,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,1,Quantum128BitADPS16,q128,162,3,1614907702920,10,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,113.420000000000,484,,428,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,2,Quantum128BitADPS16,q128,324,1,1614907702920,3,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,49.025000000000,484,,185,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,2,Quantum128BitADPS16,q128,324,2,1614907702920,8,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,108.650000000000,484,,410,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,2,Quantum128BitADPS16,q128,324,3,1614907702920,41550,972,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,4,Quantum128BitADPS16,q128,648,1,1614907702920,4,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,100.170000000000,484,,378,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta32,162,4,Quantum128BitADPS16,q128,648,2,1614907702920,1953388126,1296,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
