policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q31,256,12,3,6400000000000,3072,6400000000000,true,local-minimum+proven-pruned-certification,128.0,638.650000000000,,2410,0,,,AtLeast
Quantum128BitADPS16,q31,256,13,3,6400000000000,3328,6400000000000,true,local-minimum+proven-pruned-certification,128.0,705.430000000000,,2662,0,,,AtLeast
Quantum128BitADPS16,q31,256,14,3,6400000000000,3584,6400000000000,true,local-minimum+proven-pruned-certification,128.0,773.270000000000,,2918,0,,,AtLeast
Quantum128BitADPS16,q31,256,15,3,6400000000000,3840,6400000000000,true,local-minimum+proven-pruned-certification,128.0,841.905000000000,,3177,0,,,AtLeast
Quantum128BitADPS16,q31,256,16,3,6400000000000,4096,6400000000000,true,local-minimum+proven-pruned-certification,128.0,911.600000000000,,3440,0,,,AtLeast
Quantum128BitADPS16,q31,256,17,3,6400000000000,4352,6400000000000,true,local-minimum+proven-pruned-certification,128.0,981.825000000000,,3705,0,,,AtLeast
Quantum128BitADPS16,q31,256,18,3,6400000000000,4608,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1052.845000000000,,3973,0,,,AtLeast
Quantum128BitADPS16,q31,256,19,3,6400000000000,4864,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1124.660000000000,,4244,0,,,AtLeast
Quantum128BitADPS16,q31,256,20,3,6400000000000,5120,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1197.005000000000,,4517,0,,,AtLeast
Quantum128BitADPS16,q31,512,1,3,657563177,512,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,512,2,3,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,144.160000000000,,544,0,,,AtLeast
Quantum128BitADPS16,q31,512,3,3,6400000000000,1536,6400000000000,true,local-minimum+proven-pruned-certification,128.0,249.365000000000,,941,0,,,AtLeast
Quantum128BitADPS16,q31,512,4,3,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,363.050000000000,,1370,0,,,AtLeast
Quantum128BitADPS16,q31,512,5,3,6400000000000,2560,6400000000000,true,local-minimum+proven-pruned-certification,128.0,482.830000000000,,1822,0,,,AtLeast
