log2_arg,log2_erf
-4.75,-4.57641209573365571210682775830376031289955344029804221895409
-4.625,-4.45153770761023541184963546274643076145759035878329101516229
-4.5,-4.32668707475286154941118678736791808330029079307837509745248
-4.375,-4.20186468710800106135304041291520960512401116435206323077759
-4.25,-4.07707588219796881888569792751618153330249764402555138482054
-4.125,-3.95232700467939652761632239991164451719200176392083936133174
-4.0,-3.82762559575654299040279702635296699932632579716116630631005
-3.875,-3.70298061795974250878785184915098956534242594437637304312075
-3.75,-3.57840272178466968468148188772070487971425933507731089425076
-3.625,-3.45390456183632360549564241075050321302657388815830814333081
-3.5,-3.32950117145380555036649686702457346757242484121612090256889
-3.375,-3.20521040632920255882292177463763042833775035661198262848885
-3.25,-3.08105346939572046588189596708127178203831727511368442104919
-3.125,-2.95705553126200121098922807335983056765831662550701943757440
-3.0,-2.83324646271856762980783425150894514821196417777082041583927
-2.875,-2.70966169833176568347936825396200982546008465237979001323160
-2.75,-2.58634325284076991038707067305321540138083370580388785139275
-2.625,-2.46334091491886174884141583996121485444527593846372644213586
-2.5,-2.34071364573182462483753162706299412214217120595984129226927
-2.375,-2.21853121242403366807843084964527755291803240574822351525177
-2.25,-2.09687608886928414908636574546114745487626001257117233415150
-2.125,-1.97584565725216266046167913665663804772011374439857453175055
-2.0,-1.85555474357035269694621722186044746928760954420029139200476
