family,d,rank,collision_l2_sq,max_width,target_bits,search_cap,hit_cap,max_rop_log2,next_rop_log2,max_beta,next_beta
q32,32,18,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,5671,
q32,32,19,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,5986,
q32,32,20,8192,6400000000000,128.00000000000000000,6400000000000,true,inf,,6301,
q32,32,1,16384,6,128.00000000000000000,6400000000000,false,inf,38.690000000000,192,146
q32,32,2,16384,13,128.00000000000000000,6400000000000,false,inf,114.745000000000,416,433
q32,32,3,16384,6400000000000,128.00000000000000000,6400000000000,true,176.225000000000,,665,
q32,32,4,16384,6400000000000,128.00000000000000000,6400000000000,true,259.435000000000,,979,
q32,32,5,16384,6400000000000,128.00000000000000000,6400000000000,true,347.415000000000,,1311,
q32,32,6,16384,6400000000000,128.00000000000000000,6400000000000,true,439.370000000000,,1658,
q32,32,7,16384,6400000000000,128.00000000000000000,6400000000000,true,534.240000000000,,2016,
q32,32,8,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,2340,
q32,32,9,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,2633,
q32,32,10,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,2925,
q32,32,11,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,3218,
q32,32,12,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,3510,
q32,32,13,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,3803,
q32,32,14,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,15,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,4388,
q32,32,16,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,4681,
q32,32,17,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,4973,
q32,32,18,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,5266,
q32,32,19,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,5558,
q32,32,20,16384,6400000000000,128.00000000000000000,6400000000000,true,inf,,5851,
q32,32,1,32768,5,128.00000000000000000,6400000000000,false,inf,36.040000000000,160,136
q32,32,2,32768,12,128.00000000000000000,6400000000000,false,inf,94.605000000000,384,357
q32,32,3,32768,6400000000000,128.00000000000000000,6400000000000,true,145.750000000000,,550,
q32,32,4,32768,6400000000000,128.00000000000000000,6400000000000,true,215.975000000000,,815,
q32,32,5,32768,6400000000000,128.00000000000000000,6400000000000,true,290.175000000000,,1095,
q32,32,6,32768,6400000000000,128.00000000000000000,6400000000000,true,368.085000000000,,1389,
q32,32,7,32768,6400000000000,128.00000000000000000,6400000000000,true,448.380000000000,,1692,
q32,32,8,32768,6400000000000,128.00000000000000000,6400000000000,true,531.325000000000,,2005,
q32,32,9,32768,6400000000000,128.00000000000000000,6400000000000,true,616.125000000000,,2325,
q32,32,10,32768,6400000000000,128.00000000000000000,6400000000000,true,702.780000000000,,2652,
