baseline,machine_config,library,field,ext_degree,basis,op,workload,vectorization,arch,simd,width,unit,ns_per_op_or_lane,lower,upper,family,label,group,bench_id
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_add,latency_chain,scalar,x86_64,avx2,8,ns/op,11.068,11.059,11.081,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,latency_chain,packed,x86_64,avx2,8,ns/lane,1.321,1.321,1.321,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_self_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,latency_chain,scalar,x86_64,avx2,8,ns/op,7.733,7.732,7.733,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_self_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.167,1.167,1.167,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_mul_self_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.137,0.137,0.138,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,neg,latency_chain,scalar,x86_64,avx2,8,ns/op,0.713,0.712,0.713,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,latency_chain,packed,x86_64,avx2,8,ns/lane,1.176,1.176,1.176,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_square_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,latency_chain,scalar,x86_64,avx2,8,ns/op,7.709,7.709,7.710,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_square_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.003,1.003,1.003,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_square_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,throughput_stream,scalar,x86_64,avx2,8,ns/op,7.755,7.754,7.756,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_square_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,latency_chain,packed,x86_64,avx2,8,ns/lane,0.140,0.140,0.140,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_sub_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_sub_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.159,0.159,0.159,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_sub_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.354,0.354,0.354,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_sub_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.138,0.138,0.139,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.155,0.155,0.155,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_add_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.355,0.355,0.356,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_add_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add_neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.277,0.276,0.277,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_add_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add_neg,latency_chain,scalar,x86_64,avx2,8,ns/op,2.214,2.214,2.214,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_add_neg_chain_512_ns_per_op
